,tweet_id,tweeted_date,favorite_count,retweet_count,text,hashtags,if_user_verified
0,666020888022790149,Sun Nov 15 22:32:08 +0000 2015,2293,423,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,[],True
1,666029285002620928,Sun Nov 15 23:05:30 +0000 2015,112,39,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,[],True
2,666033412701032449,Sun Nov 15 23:21:54 +0000 2015,100,36,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,[],True
3,666044226329800704,Mon Nov 16 00:04:52 +0000 2015,247,115,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,[],True
4,666049248165822465,Mon Nov 16 00:24:50 +0000 2015,89,37,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,[],True
5,666050758794694657,Mon Nov 16 00:30:50 +0000 2015,115,50,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,[],True
6,666051853826850816,Mon Nov 16 00:35:11 +0000 2015,1027,704,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,[],True
7,666055525042405380,Mon Nov 16 00:49:46 +0000 2015,367,196,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,[],True
8,666057090499244032,Mon Nov 16 00:55:59 +0000 2015,247,112,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,[],True
9,666058600524156928,Mon Nov 16 01:01:59 +0000 2015,99,47,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,[],True
10,666063827256086533,Mon Nov 16 01:22:45 +0000 2015,400,180,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,[],True
11,666071193221509120,Mon Nov 16 01:52:02 +0000 2015,127,51,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,[],True
12,666073100786774016,Mon Nov 16 01:59:36 +0000 2015,274,132,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,[],True
13,666082916733198337,Mon Nov 16 02:38:37 +0000 2015,93,37,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,[],True
14,666094000022159362,Mon Nov 16 03:22:39 +0000 2015,143,63,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,[],True
15,666099513787052032,Mon Nov 16 03:44:34 +0000 2015,134,53,Can stand on stump for what seems like a while. Built that birdhouse? Impressive. Made friends with a squirrel. 8/10 https://t.co/Ri4nMTLq5C,[],True
16,666102155909144576,Mon Nov 16 03:55:04 +0000 2015,66,11,Oh my. Here you are seeing an Adobe Setter giving birth to twins!!! The world is an amazing place. 11/10 https://t.co/11LvqN4WLq,[],True
17,666104133288665088,Mon Nov 16 04:02:55 +0000 2015,12907,5490,Not familiar with this breed. No tail (weird). Only 2 legs. Doesn't bark. Surprisingly quick. Shits eggs. 1/10 https://t.co/Asgdc6kuLX,[],True
18,666268910803644416,Mon Nov 16 14:57:41 +0000 2015,100,38,Very concerned about fellow dog trapped in computer. 10/10 https://t.co/0yxApIikpk,[],True
19,666273097616637952,Mon Nov 16 15:14:19 +0000 2015,152,68,Can take selfies 11/10 https://t.co/ws2AMaNwPW,[],True
20,666287406224695296,Mon Nov 16 16:11:11 +0000 2015,123,57,This is an Albanian 3 1/2 legged  Episcopalian. Loves well-polished hardwood flooring. Penis on the collar. 9/10 https://t.co/d9NcXFKwLv,[],True
21,666293911632134144,Mon Nov 16 16:37:02 +0000 2015,426,290,This is a funny dog. Weird toes. Won't come down. Loves branch. Refuses to eat his food. Hard to cuddle with. 3/10 https://t.co/IIXis0zta0,[],True
22,666337882303524864,Mon Nov 16 19:31:45 +0000 2015,168,79,This is an extremely rare horned Parthenon. Not amused. Wears shoes. Overall very nice. 9/10 would pet aggressively https://t.co/QpRjllzWAL,[],True
23,666345417576210432,Mon Nov 16 20:01:42 +0000 2015,244,124,Look at this jokester thinking seat belt laws don't apply to him. Great tongue tho 10/10 https://t.co/VFKG1vxGjB,[],True
24,666353288456101888,Mon Nov 16 20:32:58 +0000 2015,179,58,Here we have a mixed Asiago from the Galápagos Islands. Only one ear working. Big fan of marijuana carpet. 8/10 https://t.co/tltQ5w9aUO,[],True
25,666362758909284353,Mon Nov 16 21:10:36 +0000 2015,648,469,Unique dog here. Very small. Lives in container of Frosted Flakes (?). Short legs. Must be rare 6/10 would still pet https://t.co/XMD9CwjEnM,[],True
26,666373753744588802,Mon Nov 16 21:54:18 +0000 2015,163,73,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,[],True
27,666396247373291520,Mon Nov 16 23:23:41 +0000 2015,147,69,Oh goodness. A super rare northeast Qdoba kangaroo mix. Massive feet. No pouch (disappointing). Seems alert. 9/10 https://t.co/Dc7b0E8qFE,[],True
28,666407126856765440,Tue Nov 17 00:06:54 +0000 2015,93,30,This is a southern Vesuvius bumblegruff. Can drive a truck (wow). Made friends with 5 other nifty dogs (neat). 7/10 https://t.co/LopTBkKa8h,[],True
29,666411507551481857,Tue Nov 17 00:24:19 +0000 2015,371,262,This is quite the dog. Gets really excited when not in water. Not very soft tho. Bad at fetch. Can't do tricks. 2/10 https://t.co/aMCTNWO94t,[],True
30,666418789513326592,Tue Nov 17 00:53:15 +0000 2015,107,39,This is Walter. He is an Alaskan Terrapin. Loves outdated bandanas. One ear still working. Cool house plant. 10/10 https://t.co/qXpcwENTvn,[],True
31,666421158376562688,Tue Nov 17 01:02:40 +0000 2015,272,91,*internally screaming* 12/10 https://t.co/YMcrXC2Y6R,[],True
32,666428276349472768,Tue Nov 17 01:30:57 +0000 2015,139,67,Here we have an Austrian Pulitzer. Collectors edition. Levitates (?). 7/10 would garden with https://t.co/NMQq6HIglK,[],True
33,666430724426358785,Tue Nov 17 01:40:41 +0000 2015,278,160,Oh boy what a pup! Sunglasses take this one to the next level. Weirdly folds front legs. Pretty big. 6/10 https://t.co/yECbFrSArM,[],True
34,666435652385423360,Tue Nov 17 02:00:15 +0000 2015,138,42,"""Can you behave? You're ruining my wedding day""
DOG: idgaf this flashlight tastes good as hell

10/10 https://t.co/GlFZPzqcEU",[],True
35,666437273139982337,Tue Nov 17 02:06:42 +0000 2015,106,40,Here we see a lone northeastern Cumberbatch. Half ladybug. Only builds with bricks. Very confident with body. 7/10 https://t.co/7LtjBS0GPK,[],True
36,666447344410484738,Tue Nov 17 02:46:43 +0000 2015,90,19,This is Scout. She is a black Downton Abbey. Isn't afraid to get dirty. 9/10 nothing bad to say https://t.co/kH60oka1HW,[],True
37,666454714377183233,Tue Nov 17 03:16:00 +0000 2015,448,180,I'll name the dogs from now on. This is Kreggory. He does parkour. 10/10 https://t.co/uPqPeXAcua,[],True
38,666644823164719104,Tue Nov 17 15:51:26 +0000 2015,208,70,This is Jimothy. He is a Botwanian Gouda. Can write (impressive). Very erect tail. Still looking for hoco date. 9/10 https://t.co/LEkZjZxESQ,[],True
39,666649482315059201,Tue Nov 17 16:09:56 +0000 2015,993,524,Cool dog. Enjoys couch. Low monotone bark. Very nice kicks. Pisses milk (must be rare). Can't go down stairs. 4/10 https://t.co/vXMKrJC81s,[],True
40,666691418707132416,Tue Nov 17 18:56:35 +0000 2015,161,42,This is Christoper. He is a spotted Penne. Can easily navigate stairs. 8/10 https://t.co/bg4TqvvkuF,[],True
41,666701168228331520,Tue Nov 17 19:35:19 +0000 2015,371,182,This is a golden Buckminsterfullerene named Johm. Drives trucks. Lumberjack (?). Enjoys wall. 8/10 would hug softly https://t.co/uQbZJM2DQB,[],True
