,tweet_id,favorite_count,retweet_count
0,666020888022790149,2293,422
1,666029285002620928,112,39
2,666033412701032449,100,36
3,666044226329800704,247,115
4,666049248165822465,89,37
5,666050758794694657,115,50
6,666051853826850816,1027,702
7,666055525042405380,367,196
8,666057090499244032,248,112
9,666058600524156928,99,47
10,666063827256086533,398,180
11,666071193221509120,127,51
12,666073100786774016,274,131
13,666082916733198337,93,37
14,666094000022159362,143,63
15,666099513787052032,134,53
16,666102155909144576,66,11
17,666104133288665088,12900,5483
18,666268910803644416,100,38
19,666273097616637952,152,68
20,666287406224695296,123,57
21,666293911632134144,427,289
22,666337882303524864,168,79
23,666345417576210432,245,124
24,666353288456101888,179,58
25,666362758909284353,649,468
26,666373753744588802,163,73
27,666396247373291520,147,69
28,666407126856765440,93,30
29,666411507551481857,372,262
30,666418789513326592,107,39
31,666421158376562688,272,91
32,666428276349472768,139,67
33,666430724426358785,278,160
34,666435652385423360,138,42
35,666437273139982337,106,40
36,666447344410484738,90,19
37,666454714377183233,448,179
38,666644823164719104,208,69
39,666649482315059201,992,524
40,666691418707132416,161,42
41,666701168228331520,371,182
42,666739327293083650,209,60
43,666776908487630848,305,150
44,666781792255496192,326,168
45,666786068205871104,657,409
46,666804364988780544,206,78
47,666817836334096384,444,209
48,666826780179869698,221,79
49,666835007768551424,185,65
50,666837028449972224,703,470
51,666983947667116034,2246,846
52,666996132027977728,214,79
53,667012601033924608,394,187
54,667044094246576128,163,43
55,667062181243039745,192,45
56,667065535570550784,143,40
57,667070482143944705,72,13
58,667073648344346624,351,104
59,667090893657276420,287,106
60,667119796878725120,286,106
61,667138269671505920,4012,1873
62,667152164079423490,42275,14606
63,667160273090932737,219,50
64,667165590075940865,2380,971
65,667171260800061440,186,72
66,667174963120574464,218,70
67,667176164155375616,526,388
68,667177989038297088,166,48
69,667182792070062081,12528,5274
70,667188689915760640,643,331
71,667192066997374976,333,86
72,667200525029539841,543,228
73,667211855547486208,425,209
74,667369227918143488,328,145
75,667393430834667520,168,50
76,667405339315146752,411,196
77,667435689202614272,266,76
78,667437278097252352,396,198
79,667443425659232256,682,488
80,667453023279554560,279,74
81,667455448082227200,171,53
82,667470559035432960,225,85
83,667491009379606528,459,190
84,667495797102141441,458,231
85,667502640335572993,484,193
86,667509364010450944,6064,1865
87,667517642048163840,332,166
88,667524857454854144,1506,967
89,667530908589760512,411,206
90,667534815156183040,717,445
91,667538891197542400,176,58
92,667544320556335104,762,459
93,667546741521195010,303,106
94,667549055577362432,5107,1955
